movie_name,ranking,score,score_num
福尔摩斯二世,1,9.5,17233
这个杀手不太冷,2,9.4,1843660
七武士,3,9.3,144744
切腹,4,9.3,27416
蝙蝠侠：黑暗骑士,5,9.2,800437
指环王3：王者无敌,6,9.2,583036
丝路花雨,7,9.2,1129
指环王2：双塔奇兵,8,9.1,531381
将军号,9,9.1,18468
赛文奥特曼 我是地球人,10,9.1,1650
搏击俱乐部,11,9.0,667324
黑客帝国,12,9.0,606531
指环王1：魔戒再现,13,9.0,597009
攻壳机动队,14,9.0,103295
V字仇杀队,15,8.9,775696
勇敢的心,16,8.9,467601
乱,17,8.9,63134
用心棒,18,8.9,31291
让子弹飞,19,8.8,1237867
加勒比海盗,20,8.8,674854
蝙蝠侠：黑暗骑士崛起,21,8.8,551128
杀人回忆,22,8.8,512843
谍影重重3,23,8.8,330250
黑客帝国3：矩阵革命,24,8.8,325191
纵横四海,25,8.8,312787
东邪西毒：终极版,26,8.8,152308
黑客帝国动画版,27,8.8,41763
蝙蝠侠：黑暗骑士归来(下),28,8.8,24761
椿三十郎,29,8.8,19046
桥,30,8.8,18113
头号玩家,31,8.7,1079000
阿凡达,32,8.7,1011505
超能陆战队,33,8.7,766768
被解救的姜戈,34,8.7,465673
英雄本色,35,8.7,391585
谍影重重2,36,8.7,277454
终结者2：审判日,37,8.7,270467
黑鹰坠落,38,8.7,227444
枪火,39,8.7,165246
精英部队2：大敌当前,40,8.7,67029
宾虚,41,8.7,27724
西线无战事,42,8.7,13090
铁达尼号沉没记,43,8.7,5357
岁城璃心,44,8.7,1635
功夫,45,8.6,752051
蜘蛛侠：平行宇宙,46,8.6,500420
东邪西毒,47,8.6,461439
疯狂的麦克斯4：狂暴之路,48,8.6,398660
新龙门客栈,49,8.6,340793
谍影重重,50,8.6,331415
无间道2,51,8.6,305332
黑客帝国2：重装上阵,52,8.6,284234
勇闯夺命岛,53,8.6,214362
启示,54,8.6,67510
恶童,55,8.6,59383
正义联盟：闪点悖论,56,8.6,22420
钢铁巨人,57,8.6,20244
杀死比尔整个血腥事件,58,8.6,18592
兽兵卫忍风帖,59,8.6,9631
大菩萨岭,60,8.6,8742
落叶,61,8.6,5724
死亡的游戏,62,8.6,3860
奈克瑟斯奥特曼剧场版,63,8.6,2809
笔中情,64,8.6,2235
滑铁卢战役,65,8.6,1705
复仇者联盟4：终局之战,66,8.5,894364
釜山行,67,8.5,889668
变脸,68,8.5,327260
